program_id,program_name,category,incentive_value,caps,key_requirements,url,contact,notes
ANAHEIM_LIGHTING_2025,Lighting Incentives Program (Performance-Based),Lighting & Controls,$400 per kW saved OR $0.15 per annual kWh saved (greater of),"Up to $75,000/customer/fiscal year; incentive not to exceed project cost","LED must be UL/ETL/DLC/Energy Star; 25,000 hours or 3-year warranty; performance-based M&V; funding availability applies",https://www.anaheim.net/961/Lighting-Incentives-Program,714-765-4250; Commercial Rebates & Incentives,Applications + incentive table + program guidelines available on page
ANAHEIM_AC_2025,Air Conditioner Incentive,HVAC – Packaged AC & PTAC,PTAC ≤2.5T: $100/ton if >20% above Title 24 min EER; Pkg AC 2.0–≤5.3T: $75–$400/ton by efficiency tier; ≥5.4T: $0.10 per annual kWh saved,"Max 25% of project cost or $50,000 (whichever is less)","Replacement of existing, operating units; follow program guidelines; pre-application recommended; funding availability applies",https://www.anaheim.net/2543/Air-Conditioner-Incentive,714-765-4250; Commercial Rebates & Incentives,Download the AC Incentive Table + Application + W‑9/590
ANAHEIM_MOTOR_2025,Motor Incentive Program,Motors & Pumps,"$60 – $1,400 per unit depending on HP/efficiency",Maximum incentive per project per program guidelines (not specified on summary),Replace existing/operating motor with premium‑efficiency motor; HP range 5–200 HP; efficiency 86.5%–96.0%,https://www.anaheim.net/2544/Motor-Incentive-Program,714-765-4250; Commercial Rebates & Incentives,Program page table lists ranges and requirements
ANAHEIM_HEATPUMP_2025,Heat Pump Incentives Program,Heat Pumps (Space & Water),Varies by technology (see program page),Subject to funding; project cost caps may apply,Follow program guidelines and equipment specs,https://www.anaheim.net/958/Heat-Pump-Incentives-Program,714-765-4250; Commercial Rebates & Incentives,Commercial eligibility depending on measure; confirm with APU
ANAHEIM_EV_PUBLIC_2025,Public Access EV Charger Rebate,Electric Vehicles – Public Access,"Up to $3,500 per Level 2 charger (commercial, max $25,000 per site); Up to $7,500 per charger for schools/affordable housing/DCFC (max $40,000)","Per‑site maximums: $25,000 (commercial) or $40,000 (schools/affordable/DCFC)",Charger must be available to the public; funding availability; application and inspection rules apply,https://www.anaheim.net/6333/Commercial-EV-Programs,714-765-4250; EV Programs,Fleet and private‑use rebates also available (separate amounts)
ANAHEIM_EV_PRIVATE_2025,Private Use EV Charger Rebate,Electric Vehicles – Private Use,Up to $300 per Level 2 charger; up to $600 for networked charger on time‑based rate,Subject to fund availability,Business site; time‑based rate for networked rebate; application required,https://www.anaheim.net/6333/Commercial-EV-Programs,714-765-4250; EV Programs,"See page for fleet charger rebates (up to $5,000/charger; site cap $75,000)"
ANAHEIM_SMALLBIZ_DI_2025,Small Business Energy & Water Direct Install (DI),Direct Install,"Allowance up to $3,000 for high‑energy measures and up to $1,000 for high‑efficiency water measures (limited time)","First‑come, first‑served funding; eligibility screening required",Complimentary assessment; turnkey install of approved measures; inspection may apply,https://www.anaheim.net/965/Small-Business-Energy-Water-Direct-Insta,714-765-4258; DI Program,Certified energy specialists guide measures and schedule installs
ANAHEIM_AIR_PURIFIER_2025,Business Air Purifier Rebate,Indoor Air Quality,$75 per ENERGY STAR air purifier (limit 4 per business),Limit 4 units per business,ENERGY STAR certified; application & W‑9 required,https://www.anaheim.net/5621/Air-Purifier-Rebate,714-765-4250; Commercial Rebates & Incentives,ENERGY STAR Product Finder link provided on page
ANAHEIM_UPS_2025,Business UPS (Battery Backup) Rebate,Electronics/IT,Rebate available for ENERGY STAR UPS devices (amount posted on application),Subject to funding,UPS must be ENERGY STAR certified; follow application steps,https://www.anaheim.net/5823/Uninterruptible-Power-Supply-Rebate,714-765-4250; Commercial Rebates & Incentives,Program page outlines eligibility and links to forms
ANAHEIM_CUSTOM_2025,Customized Energy Incentives (ABEES),Custom Projects,Custom incentives for high‑efficiency equipment not listed elsewhere (case‑by‑case),Subject to funding; pre‑approval required,Project must exceed baseline efficiency; not otherwise covered by catalog; follow program M&V rules,https://www.anaheim.net/1533/Customized-Energy-Incentives,714-765-4250; Commercial Rebates & Incentives,Used for non‑prescriptive opportunities; need savings analysis
